Package,Dependency,Version,License,Description
step-cli,base64,0.21.0,MIT OR Apache-2.0,encodes and decodes base64 as bytes or utf8
strand,curve25519-dalek,=4.1.3,BSD-3-Clause,A pure-Rust implementation of group operations on ristretto255 and Curve25519
strand,num-bigint,0.4,MIT/Apache-2.0,Big integer implementation for Rust
strand,num-traits,0.2,MIT OR Apache-2.0,Numeric traits for generic mathematics
strand,num-integer,0.1,MIT OR Apache-2.0,Integer traits and functions
strand,num-modular,0.6,Apache-2.0,"Implementation of efficient integer division and modular arithmetic operations with generic number types. Supports various backends including num-bigint, etc.."
strand,malachite,0.4.16,LGPL-3.0-only,"Arbitrary-precision arithmetic, with efficient algorithms partially derived from GMP, FLINT, and MPFR."
strand,rug,~1.23.0,LGPL-3.0+,"Arbitrary-precision integers, rational, floating-point and complex numbers based on GMP, MPFR and MPC."
strand,ed25519-dalek,=2.1.1,BSD-3-Clause,"Fast and efficient ed25519 EdDSA key generations, signing, and verification in pure Rust."
strand,ecdsa,0.16.8,Apache-2.0 OR MIT,"Pure Rust implementation of the Elliptic Curve Digital Signature Algorithm (ECDSA) as specified in FIPS 186-4 (Digital Signature Standard), providing RFC6979 deterministic signatures as well as support for added entropy"
strand,p384,0.13.0,Apache-2.0 OR MIT,"Pure Rust implementation of the NIST P-384 (a.k.a. secp384r1) elliptic curve as defined in SP 800-186 with support for ECDH, ECDSA signing/verification, and general purpose curve arithmetic support."
strand,x509-parser,0.16.0,MIT OR Apache-2.0,Parser for the X.509 v3 format (RFC 5280 certificates)
strand,rcgen,0.13.1,MIT OR Apache-2.0,Rust X.509 certificate generator
strand,chacha20poly1305,0.10.1,Apache-2.0 OR MIT,"Pure Rust implementation of the ChaCha20Poly1305 Authenticated Encryption with Additional Data Cipher (RFC 8439) with optional architecture-specific hardware acceleration. Also contains implementations of the XChaCha20Poly1305 extended nonce variant of ChaCha20Poly1305, and the reduced-round ChaCha8Poly1305 and ChaCha12Poly1305 lightweight variants."
strand,generic-array,1.1.1,MIT,Generic types implementing functionality of arrays
strand,sha2,0.10.7,MIT OR Apache-2.0,"Pure Rust implementation of the SHA-2 hash function family including SHA-224, SHA-256, SHA-384, and SHA-512."
strand,sha3,0.10,MIT OR Apache-2.0,"Pure Rust implementation of SHA-3, a family of Keccak-based hash functions including the SHAKE family of eXtendable-Output Functions (XOFs), as well as the accelerated variant TurboSHAKE"
strand,borsh,1.5,MIT OR Apache-2.0,Binary Object Representation Serializer for Hashing
strand,base64,0.22.1,MIT OR Apache-2.0,encodes and decodes base64 as bytes or utf8
strand,rand,0.8,MIT OR Apache-2.0,Random number generators and other randomness functionality.
strand,getrandom,=0.2.14,MIT OR Apache-2.0,A small cross-platform library for retrieving random data from system source
strand,rand_core,0.6.4,MIT OR Apache-2.0,Core random number generator traits and tools for implementation.
strand,wasm-bindgen-rayon,1.0.3,Apache-2.0,Adapter for using Rayon-based concurrency on the Web
strand,wasm-bindgen,=0.2.101,MIT OR Apache-2.0,Easy support for interacting between JS and Rust.
strand,serde-wasm-bindgen,0.6,MIT,Native Serde adapter for wasm-bindgen
strand,web-sys,0.3,MIT OR Apache-2.0,"Bindings for all Web APIs, a procedurally generated crate from WebIDL"
strand,openssl,0.10.57,Apache-2.0,OpenSSL bindings
strand,rayon,1.5,MIT OR Apache-2.0,Simple work-stealing parallelism for Rust
strand,cfg-if,1.0,MIT OR Apache-2.0,"A macro to ergonomically define an item depending on a large number of #[cfg] parameters. Structured like an if-else chain, the first matching branch is the item that gets emitted."
strand,thiserror,2.0.3,MIT OR Apache-2.0,derive(Error)
strand,serde,1.0.215,MIT OR Apache-2.0,A generic serialization/deserialization framework
strand,hex,0.4.2,MIT OR Apache-2.0,Encoding and decoding data into/from hexadecimal representation.
ui-core,i18next,^21.8.16,MIT,i18next internationalization framework
ui-core,i18next-browser-languagedetector,^6.1.4,MIT,language detector used in browser environment for i18next
ui-core,react-scripts,5.0.1,MIT,Configuration and scripts for Create React App.
ui-core,moderndash,^3.7.3,MIT,A Typescript-First utility library inspired by Lodash. Optimized for modern browsers.
ui-core,sanitize-html,2.12.1,MIT,"Clean up user-submitted HTML, preserving allowlisted elements and allowlisted attributes on a per-element basis"
ui-core,html-react-parser,4.2.0,MIT,HTML to React parser.
ui-core,qrcode.react,3.1.0,ISC,React component to generate QR codes
ui-essentials,@fortawesome/fontawesome-svg-core,^6.1.1,MIT,"The iconic font, CSS, and SVG framework"
ui-essentials,@fortawesome/free-brands-svg-icons,^6.1.1,(CC-BY-4.0 AND MIT),"The iconic font, CSS, and SVG framework"
ui-essentials,@fortawesome/free-solid-svg-icons,^6.1.1,(CC-BY-4.0 AND MIT),"The iconic font, CSS, and SVG framework"
ui-essentials,@fortawesome/react-fontawesome,^0.1.18,MIT,Official React component for Font Awesome
ui-essentials,i18next,^21.8.16,MIT,i18next internationalization framework
ui-essentials,i18next-browser-languagedetector,^6.1.4,MIT,language detector used in browser environment for i18next
velvet,clap,4.4.6,MIT OR Apache-2.0,"A simple to use, efficient, and full-featured Command Line Argument Parser"
velvet,rand,0.8.5,MIT OR Apache-2.0,Random number generators and other randomness functionality.
velvet,serde,1.0.215,MIT OR Apache-2.0,A generic serialization/deserialization framework
velvet,serde_json,1.0.133,MIT OR Apache-2.0,A JSON serialization file format
velvet,strum,0.26.3,MIT,Helpful macros for working with enums and strings
velvet,strum_macros,0.26.4,MIT,Helpful macros for working with enums and strings
velvet,uuid,1.4.1,Apache-2.0 OR MIT,A library to generate and parse UUIDs.
velvet,num-bigint,0.4,MIT/Apache-2.0,Big integer implementation for Rust
velvet,anyhow,1,MIT OR Apache-2.0,Flexible concrete Error type built on std::error::Error
velvet,csv,1.3.0,Unlicense/MIT,Fast CSV parsing with support for serde.
velvet,tokio,1.32.0,MIT,"An event-driven, non-blocking I/O platform for writing asynchronous I/O backed applications."
velvet,walkdir,2,Unlicense/MIT,Recursively walk a directory.
velvet,tracing,0.1,MIT,Application-level tracing for Rust.
velvet,rayon,1.8.0,MIT OR Apache-2.0,Simple work-stealing parallelism for Rust
velvet,criterion,0.5.1,Apache-2.0 OR MIT,Statistics-driven micro-benchmarking library
velvet,hex,0.4,MIT OR Apache-2.0,Encoding and decoding data into/from hexadecimal representation.
velvet,rusqlite,0.32,MIT,Ergonomic wrapper for SQLite
velvet,tempfile,3.15.0,MIT OR Apache-2.0,A library for managing temporary files and directories.
velvet,ordered-float,4.4.0,MIT,Wrappers for total ordering on floats
voting-portal,@apollo/client,4.0.5,MIT,A fully-featured caching GraphQL client.
voting-portal,@emotion/react,11.14.0,MIT,> Simple styling in React.
voting-portal,@emotion/styled,11.14.1,MIT,styled API for emotion
voting-portal,@fortawesome/fontawesome-svg-core,^7.0.1,MIT,"The iconic font, CSS, and SVG framework"
voting-portal,@fortawesome/free-brands-svg-icons,^7.0.1,(CC-BY-4.0 AND MIT),"The iconic font, CSS, and SVG framework"
voting-portal,@fortawesome/free-solid-svg-icons,^7.0.1,(CC-BY-4.0 AND MIT),"The iconic font, CSS, and SVG framework"
voting-portal,@fortawesome/react-fontawesome,^3.0.2,MIT,Official React component for Font Awesome
voting-portal,@mui/material,7.3.2,MIT,Material UI is an open-source React component library that implements Google's Material Design. It's comprehensive and can be used in production out of the box.
voting-portal,@reduxjs/toolkit,2.9.0,MIT,"The official, opinionated, batteries-included toolset for efficient Redux development"
voting-portal,dotenv,17.2.2,BSD-2-Clause,Loads environment variables from .env file
voting-portal,graphql,16.11.0,MIT,A Query Language and Runtime which can target any service.
voting-portal,i18next,^25.5.2,MIT,i18next internationalization framework
voting-portal,i18next-browser-languagedetector,^8.2.0,MIT,language detector used in browser environment for i18next
voting-portal,keycloak-js,^26.2.0,Apache-2.0,A client-side JavaScript OpenID Connect library that can be used to secure web applications.
voting-portal,lodash,^4.17.21,MIT,Lodash modular utilities.
voting-portal,mui-image,1.0.9,ISC,Display images as per the Material guidelines. For React apps using Material-UI.
voting-portal,react,19.1.1,MIT,React is a JavaScript library for building user interfaces.
voting-portal,react-dom,19.1.1,MIT,React package for working with the DOM.
voting-portal,react-i18next,15.7.3,MIT,Internationalization for react done right. Using the i18next i18n ecosystem.
voting-portal,react-redux,9.2.0,MIT,Official React bindings for Redux
voting-portal,react-router-dom,7.9.1,MIT,Declarative routing for React web applications
voting-portal,react-scripts,5.0.1,MIT,Configuration and scripts for Create React App.
voting-portal,uuid,13.0.0,MIT,RFC9562 UUIDs
voting-portal,web-vitals,^5.1.0,Apache-2.0,Easily measure performance metrics in JavaScript
windmill,rocket,0.5.0,MIT OR Apache-2.0,"Web framework with a focus on usability, security, extensibility, and speed."
windmill,serde,1.0.215,MIT OR Apache-2.0,A generic serialization/deserialization framework
windmill,serde_json,1.0.133,MIT OR Apache-2.0,A JSON serialization file format
windmill,serde_path_to_error,0.1,MIT OR Apache-2.0,Path to the element that failed to deserialize
windmill,reqwest,0.12.5,MIT OR Apache-2.0,higher level HTTP client library
windmill,handlebars,6.1.0,MIT,Handlebars templating implemented in Rust.
windmill,anyhow,1.0.75,MIT OR Apache-2.0,Flexible concrete Error type built on std::error::Error
windmill,tempfile,3.15.0,MIT OR Apache-2.0,A library for managing temporary files and directories.
windmill,fs_extra,1.3.0,MIT,Expanding std::fs and std::io. Recursively copy folders with information about process and much more.
windmill,flate2,1.0.28,MIT OR Apache-2.0,"DEFLATE compression and decompression exposed as Read/BufRead/Write streams. Supports miniz_oxide and multiple zlib implementations. Supports zlib, gzip, and raw deflate streams."
windmill,tar,0.4.40,MIT OR Apache-2.0,"A Rust implementation of a TAR file reader and writer. This library does not currently handle compression, but it is abstract over all I/O readers and writers. Additionally, great lengths are taken to ensure that the entire contents are never required to be entirely resident in memory all at once."
windmill,graphql_client,0.14.0,Apache-2.0 OR MIT,Typed GraphQL requests and responses
windmill,rust-s3,0.35.1,MIT,Rust library for working with AWS S3 and compatible object storage APIs
windmill,strum,0.26,MIT,Helpful macros for working with enums and strings
windmill,strum_macros,0.26,MIT,Helpful macros for working with enums and strings
windmill,base64,0.22.1,MIT OR Apache-2.0,encodes and decodes base64 as bytes or utf8
windmill,celery,N/A,Apache-2.0,Rust implementation of Celery
windmill,lapin,2.5,MIT,AMQP client library
windmill,rayon,1.5,MIT OR Apache-2.0,Simple work-stealing parallelism for Rust
windmill,tokio,1.32.0,MIT,"An event-driven, non-blocking I/O platform for writing asynchronous I/O backed applications."
windmill,async-trait,0.1.74,MIT OR Apache-2.0,Type erasure for async trait methods
windmill,clap,4.4,MIT OR Apache-2.0,"A simple to use, efficient, and full-featured Command Line Argument Parser"
windmill,dotenv,0.15.0,MIT,A `dotenv` implementation for Rust
windmill,chrono,0.4.31,MIT OR Apache-2.0,Date and time library for Rust
windmill,lazy_static,1.4.0,MIT OR Apache-2.0,A macro for declaring lazily evaluated statics in Rust.
windmill,async_once,0.2.6,MIT OR Apache-2.0,async once tool for lazy_static
windmill,uuid,1.5.0,Apache-2.0 OR MIT,A library to generate and parse UUIDs.
windmill,toml,0.8.19,MIT OR Apache-2.0,A native Rust encoder and decoder of TOML-formatted files and streams. Provides implementations of the standard Serialize/Deserialize traits for TOML data to facilitate deserializing and serializing Rust structures.
windmill,quick-error,2.0.1,MIT/Apache-2.0,A macro which makes error types pleasant to write.
windmill,keycloak,26.0.200,Unlicense OR MIT,Keycloak Admin REST API.
windmill,encoding_rs,0.8.34,(Apache-2.0 OR MIT) AND BSD-3-Clause,A Gecko-oriented implementation of the Encoding Standard
windmill,encoding_rs_io,0.1.7,MIT OR Apache-2.0,Streaming transcoding for encoding_rs
windmill,xz2,0.1.7,MIT/Apache-2.0,Rust bindings to liblzma providing Read/Write streams as well as low-level in-memory encoding/decoding.
windmill,zip,2.1.6,MIT,Library to support the reading and writing of zip files.
windmill,tracing,0.1,MIT,Application-level tracing for Rust.
windmill,tracing-subscriber,0.3,MIT,Utilities for implementing and composing `tracing` subscribers.
windmill,thiserror,2.0.3,MIT OR Apache-2.0,derive(Error)
windmill,time,0.3.31,MIT OR Apache-2.0,Date and time library. Fully interoperable with the standard library. Mostly compatible with #![no_std].
windmill,lettre,0.11,MIT,Email client
windmill,aws-config,1.6.0,Apache-2.0,AWS SDK config and credential provider implementations.
windmill,aws-sdk-sesv2,1.70.0,Apache-2.0,AWS SDK for Amazon Simple Email Service
windmill,aws-sdk-sns,1.63.0,Apache-2.0,AWS SDK for Amazon Simple Notification Service
windmill,aws-sdk-s3,1.79.0,Apache-2.0,AWS SDK for Amazon Simple Storage Service
windmill,aws-smithy-types,1.3.0,Apache-2.0,Types for smithy-rs codegen.
windmill,aws-sdk-secretsmanager,1.66.0,Apache-2.0,AWS SDK for AWS Secrets Manager
windmill,deadpool,0.12.1,MIT OR Apache-2.0,Dead simple async pool
windmill,deadpool-postgres,0.14.0,MIT OR Apache-2.0,Dead simple async pool for tokio-postgres
windmill,tokio-postgres,0.7,MIT OR Apache-2.0,"A native, asynchronous PostgreSQL client"
windmill,tokio-stream,0.1.17,MIT,Utilities to work with `Stream` and `tokio`.
windmill,tokio-util,0.7,MIT,Additional utilities for working with Tokio.
windmill,rust_decimal,1.36,MIT,Decimal number implementation written in pure Rust suitable for financial and fixed-precision calculations.
windmill,rust_decimal_macros,1.36,MIT,Shorthand macros to assist creating Decimal types.
windmill,config,0.14.1,MIT OR Apache-2.0,Layered configuration system for Rust applications.
windmill,cfg-if,1.0,MIT OR Apache-2.0,"A macro to ergonomically define an item depending on a large number of #[cfg] parameters. Structured like an if-else chain, the first matching branch is the item that gets emitted."
windmill,postgres-openssl,0.5.0,MIT OR Apache-2.0,TLS support for tokio-postgres via openssl
windmill,openssl,0.10.57,Apache-2.0,OpenSSL bindings
windmill,rusqlite,0.32,MIT,Ergonomic wrapper for SQLite
windmill,ecies,0.2.7,MIT,Elliptic Curve Integrated Encryption Scheme for secp256k1
windmill,csv,1.3.0,Unlicense/MIT,Fast CSV parsing with support for serde.
windmill,rand,0.8.5,MIT OR Apache-2.0,Random number generators and other randomness functionality.
windmill,regex,1.10.2,MIT OR Apache-2.0,An implementation of regular expressions for Rust. This implementation uses finite automata and guarantees linear time matching on all inputs.
windmill,futures,0.3.30,MIT OR Apache-2.0,"An implementation of futures and streams featuring zero allocations, composability, and iterator-like interfaces."
windmill,sha2,0.10,MIT OR Apache-2.0,"Pure Rust implementation of the SHA-2 hash function family including SHA-224, SHA-256, SHA-384, and SHA-512."
windmill,ring,0.17,Apache-2.0 AND ISC,An experiment.
windmill,hex,0.4,MIT OR Apache-2.0,Encoding and decoding data into/from hexadecimal representation.
windmill,once_cell,1.20.3,MIT OR Apache-2.0,Single assignment cells and lazy values.
windmill,walkdir,2.3,Unlicense/MIT,Recursively walk a directory.
windmill,croner,2.0,MIT,"Fully-featured, lightweight, and efficient Rust library designed for parsing and evaluating cron patterns"
windmill,unicode-normalization,0.1.24,MIT/Apache-2.0,"This crate provides functions for normalization of Unicode strings, including Canonical and Compatible Decomposition and Recomposition, as described in Unicode Standard Annex #15."
windmill,num_cpus,1.16.0,MIT OR Apache-2.0,Get the number of CPUs on a machine.
windmill,ordered-float,4.4.0,MIT,Wrappers for total ordering on floats
windmill,rust_xlsxwriter,0.90.0,MIT OR Apache-2.0,A Rust library for writing Excel 2007 xlsx files
wrap-map-err,syn,2.0,MIT OR Apache-2.0,Parser for Rust source code
wrap-map-err,quote,1.0,MIT OR Apache-2.0,Quasi-quoting macro quote!(...)
wrap-map-err,proc-macro2,1.0,MIT OR Apache-2.0,A substitute implementation of the compiler's `proc_macro` API to decouple token-based libraries from the procedural macro use case.
